task.i,learner.i,resampling.i,iteration,start.time,end.time,process,task.id,learner.id,resampling.id,test.subset,train.subsets,groups,test.fold,seed,n.train.groups
1,2,1,42,2025-05-31T18:09:44.350164Z,2025-05-31T22:08:55.540386Z,63,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,MNIST,same,63000,1,1,63000
1,2,1,43,2025-05-31T18:09:44.356350Z,2025-05-31T22:06:32.846632Z,11,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,EMNIST_rot,same,63000,2,1,63000
1,2,1,44,2025-05-31T18:09:44.361365Z,2025-05-31T22:03:53.041951Z,57,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,MNIST,same,63000,2,1,63000
1,2,1,45,2025-05-31T18:09:44.388052Z,2025-05-31T21:59:45.009772Z,35,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,EMNIST_rot,same,63000,3,1,63000
1,2,1,46,2025-05-31T18:09:44.397063Z,2025-05-31T22:10:14.636371Z,81,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,MNIST,same,63000,3,1,63000
1,2,1,47,2025-05-31T18:09:44.403894Z,2025-05-31T22:00:47.206903Z,58,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,EMNIST_rot,same,63000,4,1,63000
1,2,1,48,2025-05-31T18:09:44.434875Z,2025-05-31T22:13:19.904394Z,82,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,MNIST,same,63000,4,1,63000
1,2,1,49,2025-05-31T18:09:44.444145Z,2025-05-31T22:01:18.230090Z,4,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,EMNIST_rot,same,63000,5,1,63000
1,2,1,50,2025-05-31T18:09:44.462438Z,2025-05-31T22:19:50.378487Z,19,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,MNIST,same,63000,5,1,63000
1,2,1,51,2025-05-31T18:09:44.471401Z,2025-05-31T22:10:00.833829Z,59,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,EMNIST_rot,same,63000,6,1,63000
1,2,1,52,2025-05-31T18:09:44.488085Z,2025-05-31T22:13:11.002596Z,54,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,MNIST,same,63000,6,1,63000
1,2,1,53,2025-05-31T18:09:44.497910Z,2025-05-31T22:01:38.886055Z,12,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,EMNIST_rot,same,63000,7,1,63000
1,2,1,54,2025-05-31T18:09:44.503542Z,2025-05-31T21:57:09.548140Z,85,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,MNIST,same,63000,7,1,63000
1,2,1,55,2025-05-31T18:09:44.524456Z,2025-05-31T22:16:50.865787Z,64,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,EMNIST_rot,same,63000,8,1,63000
1,2,1,56,2025-05-31T18:09:44.528223Z,2025-05-31T22:04:49.456573Z,60,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,MNIST,same,63000,8,1,63000
1,2,1,57,2025-05-31T18:09:44.540199Z,2025-05-31T22:08:07.449338Z,22,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,EMNIST_rot,same,63000,9,1,63000
1,2,1,58,2025-05-31T18:09:44.571440Z,2025-05-31T22:06:29.670832Z,74,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,MNIST,same,63000,9,1,63000
1,2,1,59,2025-05-31T18:09:44.588053Z,2025-05-31T22:03:07.773864Z,18,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,EMNIST_rot,same,63000,10,1,63000
1,2,1,60,2025-05-31T18:09:44.620132Z,2025-05-31T22:18:03.711886Z,56,MNIST_EMNIST_rot,torch_conv,same_other_sizes_cv,MNIST,same,63000,10,1,63000
1,3,1,1,2025-05-31T18:09:44.770642Z,2025-05-31T22:26:43.840137Z,45,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,EMNIST_rot,all,126000,1,1,126000
1,3,1,2,2025-05-31T18:09:44.859041Z,2025-05-31T22:28:50.704341Z,67,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,MNIST,all,126000,1,1,126000
1,3,1,3,2025-05-31T18:09:46.146869Z,2025-05-31T22:40:10.836420Z,91,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,EMNIST_rot,all,126000,2,1,126000
1,3,1,4,2025-05-31T18:09:46.180433Z,2025-05-31T22:38:25.960979Z,98,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,MNIST,all,126000,2,1,126000
1,3,1,5,2025-05-31T18:09:46.236461Z,2025-05-31T22:27:31.172671Z,97,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,EMNIST_rot,all,126000,3,1,126000
1,3,1,6,2025-05-31T18:09:46.405461Z,2025-05-31T23:17:08.223211Z,68,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,MNIST,all,126000,3,1,126000
1,3,1,7,2025-05-31T18:09:47.810693Z,2025-05-31T22:37:01.671242Z,73,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,EMNIST_rot,all,126000,4,1,126000
1,3,1,8,2025-05-31T18:09:48.747817Z,2025-05-31T23:00:24.238553Z,55,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,MNIST,all,126000,4,1,126000
1,3,1,9,2025-05-31T18:09:49.981668Z,2025-05-31T23:07:19.750665Z,72,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,EMNIST_rot,all,126000,5,1,126000
1,3,1,10,2025-05-31T18:09:50.383831Z,2025-05-31T22:49:05.095745Z,96,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,MNIST,all,126000,5,1,126000
1,3,1,11,2025-05-31T18:09:50.430254Z,2025-05-31T22:33:18.372012Z,61,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,EMNIST_rot,all,126000,6,1,126000
1,3,1,12,2025-05-31T18:09:50.500211Z,2025-05-31T22:50:15.697089Z,13,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,MNIST,all,126000,6,1,126000
1,3,1,13,2025-05-31T18:09:52.447723Z,2025-05-31T22:26:58.768541Z,70,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,EMNIST_rot,all,126000,7,1,126000
1,3,1,14,2025-05-31T18:09:52.477552Z,2025-05-31T22:32:23.901762Z,10,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,MNIST,all,126000,7,1,126000
1,3,1,15,2025-05-31T18:09:52.571317Z,2025-05-31T22:48:32.693035Z,65,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,EMNIST_rot,all,126000,8,1,126000
1,3,1,16,2025-05-31T18:09:54.044205Z,2025-05-31T22:43:26.686633Z,83,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,MNIST,all,126000,8,1,126000
1,3,1,17,2025-05-31T18:09:54.513235Z,2025-05-31T23:16:37.527816Z,62,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,EMNIST_rot,all,126000,9,1,126000
1,3,1,18,2025-05-31T18:09:55.332761Z,2025-05-31T22:33:55.052123Z,80,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,MNIST,all,126000,9,1,126000
1,3,1,19,2025-05-31T18:09:55.388052Z,2025-05-31T22:45:33.912957Z,9,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,EMNIST_rot,all,126000,10,1,126000
1,3,1,20,2025-05-31T18:09:55.562763Z,2025-05-31T22:21:52.128488Z,31,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,MNIST,all,126000,10,1,126000
1,3,1,21,2025-05-31T18:09:55.664566Z,2025-05-31T20:00:39.893527Z,30,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,EMNIST_rot,other,63000,1,1,63000
1,3,1,22,2025-05-31T18:09:55.798009Z,2025-05-31T20:18:54.987230Z,34,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,MNIST,other,63000,1,1,63000
1,3,1,23,2025-05-31T18:09:56.370938Z,2025-05-31T19:57:12.761553Z,52,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,EMNIST_rot,other,63000,2,1,63000
